1939,01,2412
1939,02,4080
1939,03,3195
1939,04,1368
1939,05,585
1939,06,147
1939,07,13
1939,08,2
1939,09,11
1939,10,7
1939,11,7
1939,12,6
1940,01,7
1940,02,6
1940,03,8
1940,04,2
1940,05,11
1940,06,9
1940,07,4
1940,08,8
1940,09,4
1940,10,11
1940,11,11
1940,12,7
1941,01,27
1941,02,75
1941,03,266
1941,04,570
1941,05,894
1941,06,1168
1941,07,572
1941,08,118
1941,09,38
1941,10,41
1941,11,171
1941,12,518
1942,01,767
1942,02,955
1942,03,1738
1942,04,1684
1942,05,916
1942,06,280
1942,07,57
1942,08,17
1942,09,14
1942,10,6
1942,11,5
1942,12,6
1943,01,25
1943,02,60
1943,03,188
1943,04,418
1943,05,575
1943,06,534
1943,07,196
1943,08,57
1943,09,7
1943,10,16
1943,11,33
1943,12,104
1944,01,507
1944,02,2076
1944,03,3885
1944,04,2477
1944,05,1136
1944,06,190
1944,07,31
1944,08,3
1944,09,3
1944,10,6
1944,11,4
1944,12,6
1945,01,23
1945,02,16
1945,03,28
1945,04,37
1945,05,38
1945,06,19
1945,07,12
1945,08,4
1945,09,6
1945,10,6
1945,11,5
1945,12,12
1946,01,102
1946,02,442
1946,03,1447
1946,04,1801
1946,05,2108
1946,06,1590
1946,07,542
1946,08,51
1946,09,9
1946,10,7
1946,11,14
1946,12,23
1947,01,23
1947,02,23
1947,03,26
1947,04,44
1947,05,66
1947,06,52
1947,07,18
1947,08,8
1947,09,4
1947,10,3
1947,11,2
1947,12,5
1948,01,9
1948,02,33
1948,03,144
1948,04,570
1948,05,2251
1948,06,3062
1948,07,945
1948,08,201
1948,09,60
1948,10,59
1948,11,373
1948,12,1236
1949,01,2190
1949,02,3618
1949,03,3680
1949,04,1095
1949,05,267
1949,06,97
1949,07,13
1949,08,7
1949,09,3
1949,10,6
1949,11,22
1949,12,33
1950,01,25
1950,02,24
1950,03,41
1950,04,46
1950,05,103
1950,06,72
1950,07,31
1950,08,5
1950,09,4
1950,10,1
1950,11,5
1950,12,0
1951,01,13
1951,02,25
1951,03,138
1951,04,239
1951,05,484
1951,06,831
1951,07,644
1951,08,237
1951,09,82
1951,10,211
1951,11,573
1951,12,899
1952,01,1403
1952,02,1500
1952,03,1008
1952,04,715
1952,05,283
1952,06,131
1952,07,26
1952,08,10
1952,09,3
1952,10,10
1952,11,20
1952,12,17
1953,01,9
1953,02,11
1953,03,52
1953,04,124
1953,05,232
1953,06,151
1953,07,57
1953,08,26
1953,09,18
1953,10,34
1953,11,113
1953,12,237
1954,01,485
1954,02,1008
1954,03,1910
1954,04,1511
1954,05,560
1954,06,207
1954,07,53
1954,08,10
1954,09,6
1954,10,7
1954,11,3
1954,12,4
1955,01,5
1955,02,30
1955,03,87
1955,04,68
1955,05,34
1955,06,55
1955,07,26
1955,08,16
1955,09,16
1955,10,21
1955,11,103
1955,12,464
1956,01,1296
1956,02,1493
1956,03,1130
1956,04,550
1956,05,255
1956,06,94
1956,07,52
1956,08,21
1956,09,19
1956,10,11
1956,11,11
1956,12,11
1957,01,35
1957,02,13
1957,03,12
1957,04,27
1957,05,68
1957,06,78
1957,07,112
1957,08,55
1957,09,37
1957,10,69
1957,11,395
1957,12,858
1958,01,1143
1958,02,895
1958,03,573
1958,04,381
1958,05,278
1958,06,144
1958,07,96
1958,08,39
1958,09,14
1958,10,21
1958,11,60
1958,12,83
1959,01,134
1959,02,87
1959,03,106
1959,04,153
1959,05,192
1959,06,153
1959,07,102
1959,08,29
1959,09,32
1959,10,22
1959,11,27
1959,12,91
1960,01,221
1960,02,327
1960,03,532
1960,04,410
1960,05,328
1960,06,163
1960,07,68
1960,08,26
1960,09,11
1960,10,17
1960,11,23
1960,12,56
1961,01,128
1961,02,173
1961,03,272
1961,04,353
1961,05,392
1961,06,324
1961,07,108
1961,08,68
1961,09,19
1961,10,44
1961,11,83
1961,12,125
1962,01,280
1962,02,320
1962,03,256
1962,04,260
1962,05,265
1962,06,162
1962,07,58
1962,08,20
1962,09,8
1962,10,4
1962,11,14
1962,12,10
1963,01,45
1963,02,27
1963,03,69
1963,04,134
1963,05,240
1963,06,236
1963,07,134
1963,08,90
1963,09,34
1963,10,61
1963,11,107
1963,12,277
1964,01,413
1964,02,332
1964,03,413
1964,04,348
1964,05,171
1964,06,88
1964,07,17
1964,08,3
1964,09,9
1964,10,5
1964,11,10
1964,12,20
1965,01,109
1965,02,47
1965,03,142
1965,04,144
1965,05,107
1965,06,83
1965,07,81
1965,08,41
1965,09,7
1965,10,10
1965,11,32
1965,12,141
1966,01,225
1966,02,287
1966,03,257
1966,04,154
1966,05,130
1966,06,73
1966,07,20
1966,08,6
1966,09,5
1966,10,7
1966,11,2
1966,12,4
1967,01,9
1967,02,7
1967,03,14
1967,04,12
1967,05,9
1967,06,9
1967,07,7
1967,08,7
1967,09,5
1967,10,5
1967,11,3
1967,12,5
1968,01,7
1968,02,0
1968,03,4
1968,04,5
1968,05,9
1968,06,6
1968,07,13
1968,08,1
1968,09,6
1968,10,3
1968,11,1
1968,12,1
1969,01,1
1969,02,1
1969,03,2
1969,04,11
1969,05,1
1969,06,25
1969,07,3
1969,08,10
1969,09,0
1969,10,0
1969,11,7
1969,12,16
1970,01,9
1970,02,12
1970,03,0
1970,04,394
1970,05,167
1970,06,115
1970,07,22
1970,08,3
1970,09,0
1970,10,0
1970,11,8
1970,12,4
1971,01,2
1971,02,3
1971,03,0
1971,04,0
1971,05,7
1971,06,2
1971,07,1
1971,08,0
1971,09,0
1971,10,0
1971,11,1
1971,12,1
1972,01,0
1972,02,0
1972,03,1
1972,04,1
1972,05,0
1972,06,0
